"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"124","<U+092C><U+093E><U+092C><U+093E><U+0938><U+093E><U+0939><U+0947><U+092C> <U+0921><U+0949>. <U+092D><U+0940><U+092E><U+0930><U+093E><U+0935> <U+0905><U+092E><U+094D><U+092C><U+0947><U+0921><U+0915><U+0930> <U+0915><U+094B> <U+0909><U+0928><U+0915><U+0940> <U+091C><U+092F><U+0902><U+0924><U+0940> <U+092A><U+0930> <U+0938><U+092D><U+0940> <U+0926><U+0947><U+0936><U+0935><U+093E><U+0938><U+093F><U+092F><U+094B><U+0902> <U+0915><U+0940> <U+0913><U+0930> <U+0938><U+0947> <U+0935><U+093F><U+0928><U+092E><U+094D><U+0930> <U+0936><U+094D><U+0930><U+0926><U+094D><U+0927><U+093E><U+0902><U+091C><U+0932><U+093F><U+0964> #AmbedkarJayanti https://t.co/ddDiD8HAe5",FALSE,82444,NA,2020-04-14 01:36:22,FALSE,NA,"1249874101583265793",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",12823,FALSE,FALSE,NA,NA
"125","Mata @Amritanandamayi Ji is known for her selfless service and work towards helping the downtrodden. She has added… https://t.co/JFj2CHLiDz",FALSE,38365,NA,2020-04-13 14:58:44,TRUE,NA,"1249713639709454341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4962,FALSE,FALSE,NA,NA
"126","Be it education or community service, the DAV family has always had a positive impact in the lives of several peopl… https://t.co/lSwaXuHPPl",FALSE,56080,NA,2020-04-13 14:58:07,TRUE,NA,"1249713483727482882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",6527,FALSE,FALSE,NA,NA
"127","Very good. 

Also appreciable to see that the staff is taking proper precautions. This is essential. https://t.co/bDtku1h4jp",FALSE,25292,NA,2020-04-13 14:57:11,FALSE,NA,"1249713248548655105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2871,FALSE,FALSE,NA,NA
"128","Remarkable gesture. Wishing you a happy and healthy year ahead. https://t.co/5jpgnfWChv",FALSE,49741,NA,2020-04-13 14:56:48,FALSE,NA,"1249713151479873536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",5283,FALSE,FALSE,NA,NA
"129","Good. https://t.co/aaz27zjPXm",FALSE,26603,NA,2020-04-13 14:55:24,FALSE,NA,"1249712797593804803",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2748,FALSE,FALSE,NA,NA
"130","Had a good discussion on phone today with Prime Minister Nguyen Xuan Phuc of Vietnam, about how we can support each… https://t.co/l4syyUvxXv",FALSE,101096,NA,2020-04-13 14:54:12,TRUE,NA,"1249712497260724224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",9785,FALSE,FALSE,NA,NA
"131","I bow to those martyrs who were killed mercilessly in Jallianwala Bagh on this day. We will never forget their cour… https://t.co/RWEDJ7OqOH",FALSE,101721,NA,2020-04-13 03:43:40,TRUE,NA,"1249543753234173952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",12755,FALSE,FALSE,NA,NA
"132","<U+0B13><U+0B21><U+0B3C><U+0B3F><U+0B36><U+0B3E><U+0B2C><U+0B3E><U+0B38><U+0B40><U+0B19><U+0B4D><U+0B15><U+0B41> <U+0B13><U+0B21><U+0B3C><U+0B3F><U+0B06> <U+0B28><U+0B2C> <U+0B2C><U+0B30><U+0B4D><U+0B37> <U+0B05><U+0B2C><U+0B38><U+0B30><U+0B30><U+0B47> <U+0B39><U+0B3E><U+0B30><U+0B4D><U+0B26><U+0B4D><U+0B26><U+0B3F><U+0B15> <U+0B36><U+0B41><U+0B2D><U+0B15><U+0B3E><U+0B2E><U+0B28><U+0B3E> <U+0964> <U+0B2E><U+0B39><U+0B3E><U+0B2C><U+0B3F><U+0B37><U+0B41><U+0B2C> <U+0B2A><U+0B23><U+0B3E> <U+0B38><U+0B02><U+0B15><U+0B4D><U+0B30><U+0B3E><U+0B28><U+0B4D><U+0B24><U+0B3F> <U+0B05><U+0B2C><U+0B38><U+0B30><U+0B30><U+0B47> <U+0B05><U+0B2D><U+0B3F><U+0B28><U+0B28><U+0B4D><U+0B26><U+0B28> <U+0964> <U+0B2C><U+0B30><U+0B4D><U+0B37> <U+0B38><U+0B3E><U+0B30><U+0B3E> <U+0B16><U+0B41><U+0B38><U+0B3F> <U+0B0F>… https://t.co/xlrfd5fxbo",FALSE,49044,NA,2020-04-13 03:40:39,TRUE,NA,"1249542992349655040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",6086,FALSE,FALSE,NA,NA
"133","<U+092C><U+0948><U+0938><U+093E><U+0916><U+0940> <U+0915><U+0947> <U+092A><U+093E><U+0935><U+0928> <U+0905><U+0935><U+0938><U+0930> <U+092A><U+0930> <U+0926><U+0947><U+0936><U+0935><U+093E><U+0938><U+093F><U+092F><U+094B><U+0902> <U+0915><U+094B> <U+092C><U+0939><U+0941><U+0924>-<U+092C><U+0939><U+0941><U+0924> <U+0936><U+0941><U+092D><U+0915><U+093E><U+092E><U+0928><U+093E><U+090F><U+0902><U+0964> <U+0928><U+0908> <U+0909><U+092E><U+0902><U+0917><U+094B><U+0902> <U+0938><U+0947> <U+091C><U+0941><U+0921><U+093C><U+093E> <U+092F><U+0939> <U+0924><U+094D><U+092F><U+094B><U+0939><U+093E><U+0930> <U+0938><U+092D><U+0940> <U+0915><U+0947> <U+091C><U+0940><U+0935><U+0928> <U+092E><U+0947><U+0902> <U+0928><U+0908> <U+090A><U+0930><U+094D><U+091C><U+093E> <U+0914><U+0930> <U+0928><U+090F> <U+0909><U+0924><U+094D><U+0938><U+093E><U+0939> <U+0915><U+093E> <U+0938><U+0902><U+091A><U+093E><U+0930> <U+0915><U+0930><U+0947><U+0964>",FALSE,194219,NA,2020-04-13 03:39:23,FALSE,NA,"1249542674354278401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",19304,FALSE,FALSE,NA,NA
